osmid,x,y,ref,highway
331136274,11.5172849,3.8264163,,nan
331136280,11.5210721,3.8481175,,nan
331136281,11.5217238,3.8514494,,nan
331136285,11.5210185,3.8614192,,nan
331136286,11.5199133,3.8632864,,nan
331136293,11.5168357,3.8788144,,nan
331137363,11.5168319,3.8252267,,nan
331137980,11.5225332,3.7922374,,nan
331137983,11.5221983,3.7993234,,nan
401774872,11.5092645,3.8181795,,nan
401774873,11.511513,3.8100572,,nan
401774878,11.5100396,3.8077095,,nan
401774881,11.5208546,3.8623108,,nan
401774884,11.5202889,3.8616511,,nan
401774897,11.5230726,3.8614977,,nan
401774905,11.5280496,3.8648337,,nan
401774907,11.5277153,3.865425,,nan
401774912,11.5277456,3.8679242,,nan
401774918,11.5311448,3.8694344,,nan
401774920,11.5317984,3.8690607,,nan
401774931,11.534337,3.8707231,,mini_roundabout
401774933,11.5334494,3.8714247,,nan
401774939,11.5306697,3.873228,,nan
401774941,11.5301735,3.8733905,,nan
401774950,11.5259171,3.8721009,,nan
401774976,11.5298362,3.8745331,,nan
401774982,11.5331797,3.8784982,,nan
401774990,11.5343199,3.8811444,,nan
401774993,11.5360109,3.885942,,nan
401775019,11.5156912,3.8658785,,nan
401775024,11.5150434,3.8664965,,nan
401775025,11.5149889,3.8663308,,nan
401775052,11.5186526,3.8636992,,nan
401775056,11.5176634,3.8640108,,nan
401775067,11.5137329,3.8646636,,nan
401775068,11.513327,3.8652749,,nan
401775070,11.5132276,3.8659714,,nan
401775090,11.5153738,3.8614128,,nan
401786822,11.5122743,3.867971,,nan
401786824,11.5110519,3.8700441,,nan
401786828,11.5123697,3.8674786,,nan
401786864,11.4746587,3.8715109,,nan
401786866,11.468423,3.8716835,,nan
401786898,11.5066017,3.8724275,,nan
401786900,11.5057839,3.8729747,,nan
401786901,11.5041708,3.8734598,,nan
401786951,11.5133273,3.8740114,,nan
401786960,11.5043003,3.8774424,,nan
401786961,11.5048273,3.8771045,,nan
401786962,11.5061563,3.8768911,,nan
401786963,11.5079026,3.8765925,,nan
401786977,11.5151501,3.881158,,nan
401786987,11.5319196,3.8984837,,nan
401786992,11.5326105,3.9062629,,nan
401787015,11.5184111,3.941956,,nan
418227408,11.4749404,3.7937426,,nan
418297818,11.520759,3.9156995,,nan
418297889,11.5323181,3.8990136,,nan
418297900,11.5296213,3.8927544,,nan
418297902,11.5297882,3.8939914,,nan
418297904,11.5296651,3.8934507,,nan
418297914,11.5304799,3.8872106,,nan
418297916,11.531592,3.8869416,,nan
418501720,11.5158767,3.8912832,,nan
418501721,11.5143055,3.89046,,nan
418501725,11.5127391,3.8920797,,nan
418501734,11.5054639,3.8986264,,nan
418501751,11.5010582,3.8871736,,nan
418501752,11.5015525,3.8864707,,traffic_signals
418501753,11.5024379,3.8871945,,nan
418501773,11.5051256,3.8984617,,nan
418501775,11.5046425,3.8990174,,nan
418501778,11.5055736,3.8988798,,nan
418501780,11.5060457,3.8970029,,nan
418501784,11.5132836,3.8919191,,nan
418501787,11.5046524,3.8988029,,nan
418501802,11.5050149,3.8993923,,nan
418501804,11.5049305,3.8984949,,nan
418501827,11.5011326,3.8873077,,nan
418501830,11.498858,3.8899308,,nan
418603970,11.4931254,3.8803848,,traffic_signals
418603977,11.491322,3.8768523,,nan
418603981,11.492224,3.8758592,,nan
418603996,11.4909599,3.8728374,,nan
418603997,11.4888571,3.875765,,nan
418604007,11.4920226,3.8832303,,nan
418721599,11.5178638,3.8854514,,nan
418721606,11.513396,3.879832,,nan
418721611,11.5132182,3.8797755,,nan
418721625,11.5187923,3.8839759,,nan
418721635,11.5161151,3.8867843,,nan
418721640,11.5151185,3.8892486,,nan
418721644,11.5176695,3.8849081,,nan
418721649,11.5154516,3.8855786,,nan
418721660,11.5147963,3.8719979,,nan
418721672,11.5133896,3.8664595,,nan
418721677,11.5132045,3.8666186,,nan
418721683,11.5142538,3.8693813,,nan
418721686,11.5155085,3.8657538,,nan
418721687,11.5156337,3.866269,,nan
418721689,11.5148217,3.8661603,,nan
418721700,11.5154166,3.8657485,,nan
418721707,11.5150423,3.8660643,,nan
418721722,11.5152295,3.8656156,,nan
418721729,11.514475,3.8640315,,nan
418721733,11.5151515,3.8643166,,nan
418721737,11.5151771,3.8658772,,nan
418721740,11.5178769,3.8618729,,nan
418721753,11.5203033,3.8595864,,nan
418721754,11.5191409,3.8608191,,nan
418721776,11.5202174,3.8609697,,nan
418721780,11.5201659,3.8610018,,nan
418721789,11.5202341,3.8615905,,nan
418726364,11.4541661,3.8727277,,nan
418726366,11.4542579,3.8726516,,nan
418726371,11.461472,3.8729966,,nan
418726381,11.461671,3.8730475,,nan
418726391,11.4542157,3.8726128,,nan
418726394,11.4542289,3.872729,,nan
418726432,11.4539232,3.8726734,,nan
418726434,11.4541426,3.8726442,,nan
418777037,11.5134972,3.8649207,,nan
418777048,11.5141894,3.8729642,,nan
418777567,11.5130254,3.8664385,,nan
418777568,11.5131341,3.8666012,,nan
418777569,11.5133477,3.8665562,,nan
418777570,11.513306,3.8662882,,nan
418782750,11.4849636,3.8693707,,nan
418782751,11.4853077,3.8695575,,nan
418782752,11.4850082,3.8697745,,nan
418782753,11.4852276,3.8697343,,nan
418782755,11.4852274,3.8693905,,nan
418782768,11.5130385,3.8664858,,nan
418782769,11.5186496,3.8615912,,nan
418784939,11.4670524,3.8714011,,nan
418784949,11.5145143,3.878218,,nan
418784954,11.5115296,3.8838196,,nan
418784957,11.5069023,3.8860939,,nan
418784962,11.4936488,3.8834241,,crossing
418784973,11.5132146,3.8811497,,nan
419587940,11.4614812,3.8728764,,nan
419587950,11.461719,3.8729781,,nan
419587972,11.5149808,3.8708854,,nan
419587976,11.515405,3.8700998,,nan
419587978,11.5164053,3.8705535,,nan
419587984,11.5158827,3.8665493,,nan
419587998,11.5192929,3.8652948,,nan
419588000,11.5181045,3.8666207,,nan
419588004,11.5149073,3.8735895,,nan
419588006,11.5160664,3.8713487,,nan
419588009,11.5157323,3.8721217,,nan
419588017,11.5168471,3.8671235,,nan
419588019,11.5167784,3.8670544,,nan
